area_id,latitude,longitude
E02000593,51.48896,-0.19071
E02000594,51.48678,-0.16275
E02000595,51.48596,-0.17379
E02000596,51.48571,-0.18384
E02000597,51.48109,-0.18091
E02000598,51.42616,-0.29934
E02000599,51.42118,-0.2633
E02000600,51.41764,-0.28438
E02000601,51.41635,-0.29899
E02000602,51.40884,-0.29047
E02000603,51.40671,-0.27637
E02000604,51.4019,-0.25456
E02000605,51.40127,-0.26612
E02000606,51.40121,-0.30346
E02000607,51.39801,-0.29053
E02000608,51.39354,-0.30709
E02000609,51.38958,-0.26004
E02000610,51.3892,-0.29975
E02000611,51.38827,-0.27942
E02000612,51.38602,-0.24903
E02000613,51.38078,-0.29775
E02000614,51.37924,-0.28336
E02000615,51.37006,-0.30149
E02000616,51.36242,-0.29353
E02000617,51.36129,-0.30992
E02000619,51.4922,-0.11188
E02000620,51.48846,-0.11435
E02000621,51.4814,-0.12355
E02000622,51.47956,-0.11195
E02000623,51.4767,-0.12514
E02000624,51.47553,-0.11259
E02000625,51.47166,-0.13146
E02000626,51.46977,-0.10439
E02000627,51.46866,-0.12219
E02000628,51.46752,-0.11316
E02000629,51.46693,-0.13386
E02000630,51.46545,-0.14518
E02000631,51.46438,-0.0985
E02000632,51.46137,-0.12556
E02000633,51.45941,-0.11521
E02000634,51.46,-0.13321
E02000635,51.45781,-0.10712
E02000636,51.45487,-0.13951
E02000637,51.45244,-0.11769
E02000638,51.44955,-0.12465
E02000639,51.44737,-0.12978
E02000640,51.44619,-0.13915
E02000641,51.4455,-0.11392
E02000642,51.44339,-0.10263
E02000643,51.43923,-0.12528
E02000644,51.43603,-0.11354
E02000645,51.43435,-0.10075
E02000646,51.43436,-0.12968
E02000647,51.42866,-0.11313
E02000648,51.42606,-0.10008
E02000649,51.42648,-0.13106
E02000650,51.42363,-0.08686
E02000651,51.41776,-0.12805
E02000652,51.41537,-0.13801
E02000653,51.49011,-0.03836
E02000654,51.48298,-0.03257
E02000655,51.47901,-0.04736
E02000657,51.47181,-0.03163
E02000658,51.47218,-0.04728
E02000659,51.46733,-0.00803
E02000660,51.46687,-0.02777
E02000661,51.46233,0.0052
E02000662,51.46326,-0.04195
E02000663,51.46317,-0.0209
E02000665,51.45599,0.00221
E02000666,51.45601,-0.02688
E02000667,51.45324,-0.03533
E02000668,51.44982,0.0106
E02000669,51.44937,-0.00425
E02000670,51.4461,-0.01354
E02000671,51.44654,-0.04153
E02000672,51.44625,-0.024
E02000673,51.44456,-0.05507
E02000674,51.44138,-0.00259
E02000675,51.4411,0.01842
E02000676,51.43944,-0.04185
E02000677,51.43831,-0.0133
E02000678,51.43394,0.00955
E02000679,51.43415,-0.04658
E02000680,51.43446,-0.06111
E02000681,51.43424,-0.02927
E02000682,51.43074,-0.00733
E02000683,51.43007,0.03146
E02000685,51.42855,-0.06167
E02000686,51.42683,-0.02645
E02000687,51.4261,-0.04682
E02000689,51.43521,-0.19778
E02000690,51.42671,-0.22206
E02000691,51.42516,-0.19796
E02000692,51.42119,-0.21412
E02000693,51.42018,-0.17637
E02000694,51.41972,-0.18852
E02000695,51.41728,-0.15344
E02000696,51.41622,-0.16759
E02000697,51.41609,-0.19934
E02000698,51.41348,-0.23456
E02000699,51.41154,-0.21619
E02000700,51.4093,-0.18066
E02000701,51.40931,-0.15931
E02000702,51.40705,-0.14946
E02000703,51.40677,-0.20253
E02000704,51.40756,-0.22914
E02000705,51.40555,-0.13893
E02000706,51.40574,-0.17029
E02000707,51.39833,-0.13148
E02000708,51.39787,-0.23635
E02000709,51.39777,-0.21546
E02000710,51.39705,-0.17334
E02000711,51.39704,-0.19105
E02000712,51.38984,-0.19603
E02000713,51.38663,-0.22019
E02000714,51.55239,0.0228
E02000715,51.55162,0.06018
E02000716,51.55106,0.04415
E02000717,51.5497,0.05084
E02000718,51.54763,0.06252
E02000719,51.54891,0.01233
E02000720,51.54764,0.03363
E02000721,51.54443,0.02739
E02000722,51.5439,0.01314
E02000723,51.543,0.05244
E02000724,51.54309,0.04168
E02000725,51.54296,0.0033
E02000727,51.53941,0.03695
E02000728,51.53859,0.05898
E02000729,51.5367,0.02137
E02000730,51.53777,0.02994
E02000731,51.53442,0.0506
E02000732,51.53378,0.04214
E02000733,51.53401,0.00821
E02000734,51.53378,0.01738
E02000735,51.53124,0.03181
E02000736,51.53174,0.06383
E02000737,51.52872,0.05722
E02000738,51.52864,0.04273
E02000739,51.52753,0.02433
E02000740,51.52551,0.01144
E02000741,51.52587,0.03475
E02000742,51.52232,0.05245
E02000743,51.52028,0.0146
E02000744,51.51912,0.02309
E02000745,51.51634,0.04035
E02000746,51.51186,0.06709
E02000747,51.5122,0.01574
E02000748,51.51321,0.05114
E02000749,51.51301,0.02785
E02000751,51.61186,0.02846
E02000752,51.61112,0.11538
E02000753,51.6099,0.09958
E02000754,51.6083,0.04017
E02000755,51.60457,0.05286
E02000756,51.60135,0.08405
E02000757,51.59757,0.02217
E02000758,51.59514,0.06126
E02000759,51.5949,0.03516
E02000760,51.59316,0.07509
E02000762,51.5821,0.06448
E02000763,51.58056,0.09529
E02000764,51.58225,0.02307
E02000765,51.5796,0.0715
E02000767,51.57847,0.08226
E02000768,51.57642,0.03189
E02000770,51.57192,0.09276
E02000772,51.57062,0.11186
E02000773,51.5691,0.08226
E02000774,51.56825,0.0998
E02000776,51.56547,0.07578
E02000777,51.56367,0.03405
E02000779,51.56208,0.06476
E02000781,51.55411,0.09739
E02000782,51.5517,0.07177
